	File		Model	T_Energy I_Energy RMSD
CHEMBL375525_01_run_5.log	1	9.831	40.535	0
CHEMBL375525_01_run_12.log	4	15.095	41.109	2.22895
CHEMBL375525_01_run_13.log	6	15.448	41.619	2.35274
CHEMBL375525_01_run_22.log	7	15.769	41.743	9.91557
CHEMBL375525_01_run_15.log	4	15.89	41.177	9.48202
CHEMBL375525_01_run_3.log	7	16.41	40.342	8.46788
CHEMBL375525_01_run_2.log	5	16.701	42.85	2.98647
CHEMBL375525_01_run_2.log	6	16.713	43.817	3.83455
CHEMBL375525_01_run_12.log	7	16.872	42.304	4.76951
CHEMBL375525_01_run_18.log	5	16.921	43.552	3.26941
CHEMBL375525_01_run_2.log	8	16.923	42.789	9.69648
CHEMBL375525_01_run_11.log	5	17.034	42.06	4.58423
CHEMBL375525_01_run_23.log	6	17.672	40.522	4.79681
CHEMBL375525_01_run_2.log	13	18.301	42.745	2.00588
CHEMBL375525_01_run_6.log	9	18.453	41.634	10.6477
CHEMBL375525_01_run_12.log	12	18.627	41.685	2.03319
CHEMBL375525_01_run_21.log	9	19.212	40.687	9.63648
CHEMBL375525_01_run_14.log	11	19.341	41.556	8.52148
CHEMBL375525_01_run_5.log	8	19.411	40.207	10.6908
CHEMBL375525_01_run_11.log	8	19.628	40.025	8.66532
