	File		Model	T_Energy I_Energy RMSD
CHEMBL582829_run_13.log	1	27.698	62.771	0
CHEMBL582829_run_9.log	1	27.769	67.439	10.0828
CHEMBL582829_run_21.log	2	29.227	67.967	2.89511
CHEMBL582829_run_16.log	1	30.017	66.925	9.87054
CHEMBL582829_run_15.log	5	32.128	62.733	4.45412
CHEMBL582829_run_9.log	4	32.853	69.177	10.1088
CHEMBL582829_run_10.log	1	33.031	67.579	2.6892
CHEMBL582829_run_11.log	5	33.4	63.506	2.81652
CHEMBL582829_run_20.log	4	33.539	74.659	10.8994
CHEMBL582829_run_24.log	1	33.637	62.632	6.61324
CHEMBL582829_run_22.log	3	34.192	64.686	9.57925
CHEMBL582829_run_9.log	5	34.417	62.056	9.26174
CHEMBL582829_run_7.log	4	34.575	74.592	2.48689
CHEMBL582829_run_3.log	4	34.599	62.935	4.57919
CHEMBL582829_run_24.log	3	35.045	62.65	6.6662
CHEMBL582829_run_3.log	5	35.084	66.39	6.58197
CHEMBL582829_run_1.log	7	35.173	67.461	4.81671
CHEMBL582829_run_16.log	5	35.31	66.674	9.972
CHEMBL582829_run_18.log	1	35.342	70.324	10.4378
CHEMBL582829_run_3.log	7	35.509	67.368	3.96289
